               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11849,            0.029277,                   0,          0.00033333,                 0.1,           0.0001961,           7.844e-05,             0.10948,            0.020456,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.10663,            0.025819,                   0,               0.001,                 0.3,          0.00070016,          0.00017155,            0.091238,            0.017502,                   0,            0.090095,           0.0010946,           0.0010946
                   2,            0.096753,            0.022939,                   0,           0.0016667,                 0.5,           0.0014695,          0.00026966,             0.08381,            0.015007,                   0,            0.084683,           0.0016832,           0.0016832
                   3,            0.087363,            0.020213,                   0,               0.003,                 0.9,           0.0079962,            0.001834,             0.06859,            0.014235,                   0,            0.079266,           0.0022658,           0.0022658
                   4,            0.079179,            0.021334,                   0,               0.003,                 0.9,             0.43407,             0.17318,            0.063276,            0.013064,                   0,            0.073843,           0.0028426,           0.0028426
                   5,            0.071404,            0.019844,                   0,             0.86254,                 0.5,             0.71034,             0.17036,            0.060771,            0.011975,                   0,            0.068413,           0.0034134,           0.0034134
                   6,            0.065521,            0.018252,                   0,             0.93624,                 0.7,             0.84694,             0.30969,            0.056087,            0.011235,                   0,            0.062978,           0.0039782,           0.0039782
                   7,            0.061914,            0.018218,                   0,                0.86,                 0.5,              0.7222,             0.13737,            0.063634,           0.0097094,                   0,            0.057537,           0.0045371,           0.0045371
                   8,            0.059353,            0.017478,                   0,             0.93646,                 0.6,             0.77804,             0.37168,            0.060662,           0.0092134,                   0,             0.05209,           0.0050901,           0.0050901
                   9,            0.059732,            0.017092,                   0,             0.84963,             0.56846,             0.75544,             0.23371,            0.057428,            0.009305,                   0,            0.046637,           0.0056372,           0.0056372
                  10,            0.056048,            0.018672,                   0,             0.84944,             0.56764,             0.69189,             0.25916,            0.064495,           0.0082083,                   0,            0.041178,           0.0061782,           0.0061782
                  11,             0.05913,            0.017069,                   0,             0.82223,                 0.6,             0.72779,             0.24633,             0.04926,            0.009491,                   0,            0.035713,           0.0067134,           0.0067134
                  12,            0.053627,            0.017319,                   0,             0.69286,                 0.6,             0.64459,             0.32717,            0.055489,           0.0081797,                   0,            0.030243,           0.0072426,           0.0072426
                  13,            0.054949,             0.01563,                   0,                   1,             0.57112,             0.73222,             0.35209,            0.047278,           0.0087614,                   0,            0.024766,           0.0077659,           0.0077659
                  14,            0.049239,            0.016557,                   0,             0.82716,                 0.5,             0.63667,             0.30494,            0.056652,           0.0075569,                   0,            0.019283,           0.0082832,           0.0082832
                  15,            0.050882,            0.014855,                   0,             0.83388,                 0.7,             0.74617,             0.19521,            0.059079,           0.0080347,                   0,            0.013795,           0.0087946,           0.0087946
                  16,            0.048943,            0.014106,                   0,             0.56847,             0.66077,             0.63256,              0.1936,            0.055965,           0.0077324,                   0,            0.009208,            0.009208,            0.009208
                  17,            0.049229,             0.01693,                   0,             0.54418,             0.47953,             0.43686,             0.15454,            0.056756,           0.0075731,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.046686,            0.016017,                   0,             0.92738,                 0.6,             0.75668,             0.22756,            0.055058,           0.0073347,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.043526,            0.014081,                   0,             0.82998,                 0.6,             0.73887,             0.35916,            0.048543,           0.0078449,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.041096,            0.013684,                   0,             0.65598,                 0.7,             0.77258,              0.2458,            0.054511,           0.0074854,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039924,            0.015111,                   0,             0.79168,             0.76256,             0.76447,              0.3957,            0.037348,           0.0081482,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.039053,            0.013721,                   0,             0.68708,                 0.9,              0.8172,             0.28714,            0.044995,           0.0073309,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.04187,            0.013466,                   0,             0.95447,                 0.6,               0.797,             0.50616,            0.034988,           0.0073481,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.039879,            0.012168,                   0,                   1,              0.7707,             0.81272,             0.36816,            0.047464,           0.0064354,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036975,            0.012569,                   0,             0.96673,                 0.8,             0.84327,              0.5275,            0.038069,           0.0065641,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.038396,            0.010469,                   0,             0.97285,                 0.8,             0.81805,             0.30177,            0.046197,           0.0060911,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.035102,            0.010985,                   0,             0.99794,                 0.9,             0.89918,             0.57783,            0.031536,           0.0060511,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.034678,            0.010975,                   0,             0.97835,                 0.9,             0.93071,             0.42785,            0.040303,           0.0053773,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.036126,            0.009416,                   0,              0.9949,                 0.9,             0.92726,             0.56713,            0.031439,           0.0053573,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.033398,           0.0096424,                   0,             0.97167,                 0.9,             0.93667,             0.46464,            0.035203,           0.0050745,                   0,           0.0085645,           0.0085645,           0.0085645
