               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02481,           0.0068746,                   0,             0.98215,                 0.9,             0.90325,             0.63667,            0.026377,           0.0039945,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.024523,           0.0067969,                   0,             0.97254,                 0.9,             0.90217,             0.60186,            0.025945,           0.0040755,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.024071,           0.0069228,                   0,             0.89369,                 0.9,             0.89143,             0.62082,            0.028273,           0.0042219,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.023725,           0.0066473,                   0,             0.99748,                 0.9,             0.90027,             0.67351,            0.024492,           0.0041876,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.023056,           0.0063936,                   0,             0.89281,                 0.9,             0.90278,             0.65713,            0.024067,           0.0044332,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.024038,           0.0066472,                   0,             0.89276,                 0.9,             0.87954,             0.62802,            0.026055,           0.0043893,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.022953,           0.0066786,                   0,                   1,              0.7937,             0.88507,             0.57692,            0.030537,           0.0054188,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.022769,           0.0066417,                   0,             0.99443,                 0.9,             0.90452,             0.63071,            0.027752,           0.0050464,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,             0.02262,           0.0066681,                   0,             0.89767,             0.87907,             0.88207,             0.58393,             0.02664,           0.0054817,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.022584,           0.0064202,                   0,             0.89391,                 0.9,             0.88111,             0.59517,            0.026581,           0.0045438,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.022982,           0.0065155,                   0,             0.89361,                 0.9,             0.88082,             0.62003,            0.025268,           0.0046921,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.022194,           0.0064007,                   0,             0.97898,                 0.9,             0.90353,              0.6784,            0.023347,            0.004283,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02299,           0.0063938,                   0,                   1,             0.89558,             0.90063,             0.72596,            0.021189,           0.0045214,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.022163,           0.0062159,                   0,             0.89819,                 0.9,             0.92948,             0.71269,            0.020307,           0.0038948,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.022227,           0.0062696,                   0,             0.99292,                 0.8,             0.88652,             0.65455,            0.023653,           0.0057516,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.021944,           0.0062226,                   0,                   1,             0.79165,             0.87971,             0.61193,            0.030849,           0.0046744,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.022201,           0.0062309,                   0,              0.9884,                 0.9,             0.90262,             0.59381,            0.028904,           0.0042734,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.022238,           0.0062727,                   0,             0.98187,                 0.8,             0.88961,             0.68574,            0.020912,           0.0049219,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.022028,             0.00617,                   0,             0.99357,                 0.9,             0.90769,             0.71169,            0.022561,           0.0041127,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021696,           0.0062545,                   0,             0.87828,                 0.8,             0.82822,             0.60451,            0.022578,           0.0069036,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.020813,           0.0060335,                   0,             0.96576,                 0.8,             0.89703,             0.66499,            0.022116,           0.0046411,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.021162,           0.0060711,                   0,             0.89373,                 0.9,             0.88384,             0.62985,            0.027421,           0.0038619,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.021009,           0.0060718,                   0,                   1,             0.88078,              0.9051,             0.69366,            0.023023,           0.0039864,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.020922,           0.0060849,                   0,             0.88913,                 0.9,             0.89651,             0.65688,            0.021219,           0.0041399,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.020942,           0.0060629,                   0,                   1,             0.87844,              0.9049,             0.68674,            0.023977,           0.0045409,                   0,            0.008812,            0.008812,            0.008812
                  62,             0.02097,           0.0061158,                   0,             0.97946,                 0.8,             0.87798,             0.70027,             0.02201,           0.0050106,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.020692,           0.0060102,                   0,             0.89828,                 0.9,             0.88325,             0.68579,             0.02885,           0.0037656,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020501,           0.0060585,                   0,             0.89869,                 0.9,             0.90178,             0.64517,            0.023689,           0.0035572,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.020437,           0.0057997,                   0,              0.8992,             0.89281,             0.88286,             0.62065,            0.028277,           0.0043793,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02026,           0.0060886,                   0,             0.93746,                 0.9,             0.90325,             0.64059,            0.025664,           0.0041828,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.020799,            0.005865,                   0,              0.9922,                 0.9,             0.90311,              0.6335,            0.025859,           0.0039663,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.020574,           0.0057716,                   0,             0.98937,                 0.9,             0.90803,              0.6832,            0.025226,           0.0036964,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.020559,           0.0059112,                   0,             0.86485,                 0.8,             0.86899,             0.59553,            0.028234,           0.0062313,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.020269,             0.00588,                   0,             0.98255,                 0.8,             0.88351,             0.61683,            0.023261,            0.005012,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.019873,           0.0057558,                   0,             0.98752,                 0.8,             0.89138,             0.64174,            0.026253,           0.0045881,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.020138,           0.0056924,                   0,             0.99246,                 0.8,             0.85005,             0.61426,            0.025448,           0.0061092,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.020135,           0.0059191,                   0,             0.99387,                 0.8,               0.864,             0.67765,            0.023228,           0.0057278,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.020345,           0.0060681,                   0,             0.99105,                 0.9,             0.90452,             0.63849,            0.026305,             0.00387,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019006,           0.0057738,                   0,                   1,             0.88497,             0.90576,             0.63288,            0.027017,           0.0042672,                   0,           0.0085348,           0.0085348,           0.0085348
